ds,Type,Max_Temp,Min_Temp,Temp_Range,Precipitation,Humidity
2002-05,Historical,33.0,26.269354838709678,6.730645161290322,4.4719354838709675,74.63322580645162
2002-06,Historical,30.898333333333333,26.341,4.557333333333332,8.589666666666666,85.15033333333334
2002-07,Historical,30.101612903225806,26.21451612903226,3.887096774193548,12.495161290322581,89.56967741935483
2002-08,Historical,29.840967741935486,25.740322580645163,4.100645161290323,6.981935483870967,89.30193548387098
2002-09,Historical,30.111666666666668,25.508333333333333,4.603333333333335,3.7626666666666666,86.11999999999999
2002-10,Historical,29.55806451612903,23.387096774193548,6.170967741935481,1.124516129032258,82.49258064516128
2002-11,Historical,27.721666666666668,19.930333333333333,7.791333333333334,2.125,81.15
2002-12,Historical,25.20451612903226,15.178709677419356,10.025806451612905,0.03774193548387097,75.70193548387097
2003-01,Historical,24.883870967741935,12.601290322580645,12.28258064516129,0.09129032258064516,65.25548387096775
2003-02,Historical,29.110714285714288,16.734285714285715,12.376428571428573,0.09571428571428571,56.54535714285714
2003-03,Historical,30.937096774193545,20.080000000000002,10.857096774193543,1.9393548387096775,59.266451612903225
2003-04,Historical,33.80433333333333,25.265666666666668,8.538666666666664,1.5286666666666666,69.54533333333333
2003-05,Historical,34.627741935483876,26.849032258064515,7.778709677419361,1.9674193548387098,67.93225806451613
2003-06,Historical,30.398,26.636000000000003,3.761999999999997,14.198666666666668,85.35766666666667
2003-07,Historical,30.93354838709677,26.37548387096774,4.558064516129029,6.1658064516129025,87.43129032258064
2003-08,Historical,31.156451612903226,26.287096774193547,4.869354838709679,5.341935483870968,86.98322580645161
2003-09,Historical,30.470666666666666,26.02766666666667,4.442999999999998,3.3133333333333335,86.68233333333333
2003-10,Historical,30.40225806451613,24.821290322580648,5.580967741935481,4.811612903225806,83.04322580645162
2003-11,Historical,27.565333333333335,17.779,9.786333333333335,0.022333333333333334,80.34233333333333
2003-12,Historical,25.860967741935482,15.976451612903226,9.884516129032257,0.7674193548387097,73.84193548387097
2004-01,Historical,25.14,13.584516129032258,11.555483870967743,0.008387096774193548,67.57032258064515
2004-02,Historical,28.34551724137931,16.230344827586208,12.1151724137931,0.015517241379310345,56.611724137931034
2004-03,Historical,32.64322580645162,21.719677419354838,10.92354838709678,0.16,61.61709677419355
2004-04,Historical,32.49733333333333,24.921,7.576333333333331,2.0789999999999997,70.95733333333332
2004-05,Historical,34.00096774193548,26.933870967741935,7.067096774193548,2.5090322580645164,69.95354838709677
2004-06,Historical,32.29933333333334,27.125999999999998,5.173333333333339,6.163,78.16633333333333
2004-07,Historical,30.434193548387096,26.133548387096774,4.300645161290323,10.586774193548386,86.83838709677418
2004-08,Historical,30.355483870967742,25.84709677419355,4.508387096774193,5.8425806451612905,88.54193548387097
2004-09,Historical,29.333666666666666,25.664666666666665,3.6690000000000005,16.169333333333334,88.15333333333334
2004-10,Historical,29.39,23.009677419354837,6.3803225806451636,4.049354838709678,85.5658064516129
2004-11,Historical,26.87633333333333,18.015333333333334,8.860999999999997,0.005,82.086
2004-12,Historical,25.201612903225808,15.834838709677419,9.36677419354839,0.001935483870967742,77.72774193548386
2005-01,Historical,24.491612903225807,13.350645161290323,11.140967741935484,0.17,70.86483870967741
2005-02,Historical,29.134999999999998,17.520357142857144,11.614642857142854,0.026071428571428572,62.31071428571429
2005-03,Historical,31.745806451612903,22.509677419354837,9.236129032258066,1.4280645161290322,68.40806451612903
2005-04,Historical,33.150666666666666,24.28666666666667,8.863999999999997,2.6416666666666666,70.06733333333334
2005-05,Historical,33.0141935483871,26.15806451612903,6.8561290322580675,1.9725806451612902,72.99225806451614
2005-06,Historical,32.856,27.744666666666667,5.111333333333334,7.594666666666667,77.92666666666668
2005-07,Historical,30.64516129032258,26.203225806451613,4.441935483870967,9.833548387096775,87.6041935483871
2005-08,Historical,30.556451612903224,26.509677419354837,4.046774193548387,15.041935483870969,88.17064516129032
2005-09,Historical,30.408333333333335,26.007333333333335,4.401,4.935999999999999,87.143
2005-10,Historical,30.252258064516127,24.52064516129032,5.731612903225805,4.703548387096775,82.8025806451613
2005-11,Historical,27.134333333333334,18.525333333333332,8.609000000000002,0.2703333333333333,83.16133333333333
2005-12,Historical,25.039354838709677,15.138709677419355,9.900645161290322,0.06935483870967742,82.8532258064516
2006-01,Historical,24.93322580645161,13.343548387096773,11.589677419354837,0.0,70.34225806451613
2006-02,Historical,29.853928571428572,18.560714285714287,11.293214285714285,0.02428571428571429,65.99392857142857
2006-03,Historical,33.520967741935486,21.93032258064516,11.590645161290325,0.009677419354838712,53.645483870967745
2006-04,Historical,33.93,25.245333333333335,8.684666666666665,1.7486666666666666,65.727
2006-05,Historical,31.88290322580645,26.448064516129033,5.434838709677418,18.232580645161292,77.86709677419356
2006-06,Historical,30.316666666666666,26.382333333333335,3.9343333333333312,10.963,89.24966666666666
